age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
32, Private,169512, Bachelors,13, Married-civ-spouse, Sales, Husband, Black, Male,0,0,60, United-States
41, Private,56651, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
39, Private,99146, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
37, Private,121228, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Male,0,1726,50, United-States
27, Self-emp-not-inc,216178, Bachelors,13, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States
20, Private,177287, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States
45, Private,166181, HS-grad,9, Widowed, Priv-house-serv, Own-child, Black, Female,0,0,25, United-States
45, Private,102288, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
37, Private,171524, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, ?
27, Private,221561, 11th,7, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,32, United-States
36, Private,177895, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
30, Private,164802, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Other, Female,8614,0,40, India
44, Private,142968, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States
67, Self-emp-not-inc,94809, Some-college,10, Widowed, Other-service, Not-in-family, White, Female,2346,0,33, United-States
25, Private,153932, 11th,7, Married-civ-spouse, Craft-repair, Own-child, White, Male,2580,0,30, United-States
51, Private,184529, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1977,50, United-States
38, State-gov,187119, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States
41, Private,135056, Masters,14, Widowed, Prof-specialty, Not-in-family, White, Female,10520,0,38, United-States
21, ?,197583, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States
33, Private,51543, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,60, United-States
36, Private,199217, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,40, Mexico
20, State-gov,113588, HS-grad,9, Never-married, Tech-support, Own-child, White, Female,0,0,24, United-States
71, Private,148003, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,1911,38, United-States
40, Self-emp-inc,140915, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Other, Male,0,0,40, France
21, Private,53306, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States
36, Private,300333, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Cuba
49, Private,117310, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Own-child, White, Female,0,0,38, United-States
47, Private,285335, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
22, Private,135716, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
63, Private,199888, HS-grad,9, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40, United-States
20, Private,228306, HS-grad,9, Never-married, Tech-support, Own-child, White, Female,0,0,32, United-States
44, Private,222011, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,25, United-States
42, Private,145441, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
26, Private,464552, 9th,5, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,45, Mexico
37, Private,188279, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male,0,0,40, Thailand
38, Local-gov,274245, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
46, Private,37353, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,45, United-States
40, State-gov,13492, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,0,0,84, United-States
25, Private,68302, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
17, Private,117549, 11th,7, Never-married, Sales, Own-child, Black, Female,0,0,35, United-States
28, Private,402771, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,23, United-States
28, ?,162312, Some-college,10, Never-married, ?, Own-child, Asian-Pac-Islander, Male,0,0,40, South
49, Private,107373, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,99, United-States
29, Private,247445, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
24, Local-gov,234108, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
28, Private,375980, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States
45, Local-gov,308275, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black, Male,7688,0,65, United-States
52, Private,247806, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States
27, Private,124614, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States
19, Private,150073, Some-college,10, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,25, United-States
51, Self-emp-not-inc,329980, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,8, United-States
34, Federal-gov,121093, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,53, United-States
66, Private,366425, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
30, Private,387521, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,40, United-States
29, Private,128666, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
21, Local-gov,300812, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
40, Private,180206, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
39, Private,252445, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
19, Private,130431, 5th-6th,3, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,36, Mexico
27, Private,321456, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
26, Private,193347, Some-college,10, Divorced, Sales, Own-child, White, Female,0,0,28, United-States
34, Private,139753, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,2174,0,50, United-States
31, Private,140092, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
26, Private,206721, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,40, United-States
34, Private,149902, Masters,14, Never-married, Other-service, Unmarried, Black, Female,0,0,28, United-States
65, Private,154351, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black, Female,2993,0,40, United-States
41, Private,115254, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States
40, Self-emp-not-inc,76487, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,50, United-States
49, Private,160706, 11th,7, Separated, Machine-op-inspct, Not-in-family, White, Male,0,0,40, Puerto-Rico
36, Private,219745, HS-grad,9, Separated, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
42, Private,53956, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
57, Local-gov,62701, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Male,6849,0,40, United-States
21, Private,234640, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,47, United-States
46, Private,273796, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,65, United-States
40, Private,43546, Some-college,10, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,48, United-States
24, Private,33551, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,50, United-States
19, Private,183264, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,30, United-States
59, Private,129762, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,40, Scotland
31, Private,341632, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,46, United-States
64, Private,110110, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
49, Private,274200, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,72, United-States
45, Federal-gov,110884, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,45, India
42, Private,243380, Masters,14, Divorced, Sales, Not-in-family, White, Male,0,0,50, United-States
39, Private,48063, 12th,8, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,32, United-States
28, Private,193260, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,50, South
52, ?,73117, HS-grad,9, Divorced, ?, Unmarried, White, Female,0,0,38, United-States
24, Local-gov,146343, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
51, Private,274502, Some-college,10, Widowed, Other-service, Unmarried, White, Female,0,0,25, United-States
33, Private,158800, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
29, Private,247507, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,0,0,43, United-States
47, Private,83407, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,84, United-States
90, Self-emp-not-inc,83601, Prof-school,15, Widowed, Prof-specialty, Not-in-family, White, Male,1086,0,60, United-States
72, Private,103990, Masters,14, Married-civ-spouse, Other-service, Husband, White, Male,0,0,12, United-States
36, Private,355468, 10th,6, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States
36, Private,372525, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States
45, Private,382242, Bachelors,13, Never-married, Adm-clerical, Unmarried, White, Female,0,0,30, ?
27, Self-emp-not-inc,147452, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,48, United-States
38, Private,275338, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,45, United-States
51, Private,85942, Some-college,10, Divorced, Sales, Not-in-family, White, Female,0,0,32, United-States
23, Private,358434, Bachelors,13, Never-married, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States
35, Private,272742, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,27828,0,60, United-States
43, Private,488706, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, Mexico
25, Private,151588, Some-college,10, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,40, United-States
17, Private,161123, 12th,8, Never-married, Other-service, Own-child, White, Male,0,0,32, United-States
37, ?,254773, Some-college,10, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States
47, Private,101299, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
23, Private,126540, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
29, Private,196117, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
24, Private,187031, Masters,14, Never-married, Sales, Unmarried, Black, Female,0,0,38, United-States
36, Private,64874, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
41, Federal-gov,333070, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,35, United-States
18, Private,197600, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States
32, Self-emp-not-inc,178109, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,55, United-States
19, Federal-gov,53220, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,1602,20, United-States
54, Private,140592, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
61, Self-emp-not-inc,224981, 10th,6, Widowed, Craft-repair, Other-relative, White, Male,0,0,18, Mexico
52, Self-emp-not-inc,92469, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,32, United-States
31, Local-gov,323829, HS-grad,9, Divorced, Protective-serv, Other-relative, White, Male,0,0,45, United-States
22, Private,227603, Some-college,10, Never-married, Prof-specialty, Unmarried, White, Female,0,0,30, United-States
19, Private,273226, 11th,7, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States
22, ?,129767, Assoc-acdm,12, Never-married, ?, Own-child, White, Female,0,0,5, United-States
49, ?,227690, HS-grad,9, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States
40, Self-emp-not-inc,167678, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Dominican-Republic
38, Private,43311, 5th-6th,3, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, El-Salvador
38, Self-emp-not-inc,143385, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,80, United-States
26, Self-emp-not-inc,218993, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,30, United-States
43, Private,206927, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,15024,0,50, United-States
24, Private,138719, 11th,7, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States
32, Private,70377, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
55, Private,72812, HS-grad,9, Separated, Sales, Not-in-family, White, Male,0,0,36, United-States
56, Private,217775, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,50, United-States
20, ?,112858, HS-grad,9, Never-married, ?, Own-child, White, Male,0,0,2, United-States
52, Private,152811, 10th,6, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States
24, Private,119629, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,37, United-States
18, Private,229296, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,35, United-States
46, Private,195727, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States
48, Private,208662, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black, Female,0,0,37, United-States
22, Private,349198, 7th-8th,4, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States
18, Private,293510, 12th,8, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,20, United-States
25, Private,235218, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
19, Private,245408, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States
30, Private,166671, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,40, United-States
62, Private,78273, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States
32, Private,334744, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States
35, State-gov,102268, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States
20, Private,358355, 9th,5, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States
38, Private,248011, 11th,7, Divorced, Transport-moving, Unmarried, White, Male,0,0,55, United-States
56, Federal-gov,338242, Assoc-voc,11, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States
26, Federal-gov,337575, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
58, ?,365410, Some-college,10, Separated, ?, Other-relative, White, Female,0,0,99, United-States
36, Private,300373, 10th,6, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States
32, Private,229636, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,5013,0,60, United-States
49, Federal-gov,105959, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,41, United-States
64, ?,109108, HS-grad,9, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States
36, Private,257250, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States
49, Self-emp-not-inc,166003, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
35, Private,226528, Doctorate,16, Married-spouse-absent, Prof-specialty, Not-in-family, Other, Male,0,0,60, England
53, Private,77927, 5th-6th,3, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Female,0,0,50, Philippines
58, Private,152874, Some-college,10, Widowed, Other-service, Not-in-family, Black, Female,0,0,40, United-States
35, Private,37655, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,60, United-States
66, Self-emp-inc,165609, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
55, Private,329797, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
35, Local-gov,26987, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,1876,45, United-States
36, Private,49115, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,44, United-States
47, Private,145636, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,48, United-States
26, Self-emp-not-inc,331861, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,60, United-States
35, Private,239415, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,42, United-States
59, ?,102058, 1st-4th,2, Married-civ-spouse, ?, Husband, White, Male,0,0,45, Portugal
32, Private,267458, Assoc-acdm,12, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
28, Private,692831, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48, United-States
58, State-gov,299680, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,15024,0,43, United-States
19, ?,272166, Some-college,10, Never-married, ?, Own-child, White, Male,0,1602,30, United-States
44, Local-gov,277533, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
36, Private,154410, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
30, Private,53206, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,47, United-States
42, Self-emp-not-inc,247422, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
59, Private,105745, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States
31, Private,168961, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
22, Private,324685, 9th,5, Never-married, Sales, Not-in-family, White, Female,0,0,32, United-States
63, Private,697806, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States
33, Private,176992, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,3464,0,40, United-States
20, ?,116773, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, ?
25, Private,266062, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,65, United-States
20, Private,117767, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States
36, Private,324231, 9th,5, Never-married, Farming-fishing, Unmarried, Black, Female,0,0,40, United-States
43, Private,86797, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States
27, Private,313479, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States
43, Self-emp-inc,173326, HS-grad,9, Never-married, Prof-specialty, Unmarried, White, Female,0,0,35, United-States
23, Private,199011, 11th,7, Never-married, Craft-repair, Own-child, White, Male,0,0,3, United-States
21, Local-gov,176998, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
30, Private,53285, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
22, Private,260617, 12th,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States
27, Private,203160, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
47, Private,172753, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,85, United-States
62, Private,312818, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,1, United-States
19, Private,206751, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,30, United-States
63, ?,205110, 10th,6, Widowed, ?, Not-in-family, Black, Male,0,0,40, United-States
52, State-gov,21764, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
32, Private,281219, Assoc-voc,11, Divorced, Sales, Unmarried, White, Female,0,1380,40, United-States
22, Private,208946, Assoc-acdm,12, Never-married, Sales, Own-child, White, Male,0,0,30, ?
35, Private,208358, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,37, United-States
67, Self-emp-not-inc,75140, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States
49, Private,164877, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States
28, Local-gov,157437, Bachelors,13, Never-married, Protective-serv, Not-in-family, White, Female,4650,0,48, United-States
57, Federal-gov,250873, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
29, Private,394927, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States
23, Self-emp-not-inc,149704, 10th,6, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
26, Private,116991, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States
38, Private,247547, Assoc-voc,11, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States
31, Private,55104, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,25, United-States
29, ?,168479, Bachelors,13, Never-married, ?, Not-in-family, White, Male,0,0,40, United-States
30, Local-gov,268482, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
37, Private,186934, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
38, Private,289653, Bachelors,13, Divorced, Sales, Unmarried, White, Male,0,0,45, United-States
30, Private,188798, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
17, Private,172548, 9th,5, Never-married, Sales, Own-child, White, Male,0,0,8, United-States
27, Private,190303, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
29, Private,184224, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States
29, Private,335015, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States
58, Private,102791, HS-grad,9, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States
56, Private,36990, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,52, United-States
65, Self-emp-not-inc,55894, Prof-school,15, Divorced, Tech-support, Not-in-family, White, Male,0,0,40, United-States
59, Self-emp-inc,159472, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
54, Private,229983, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,36, United-States
49, Private,136358, Masters,14, Divorced, Sales, Unmarried, Other, Female,0,0,20, Peru
18, Private,407436, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,30, United-States
21, Private,176486, Some-college,10, Never-married, Exec-managerial, Unmarried, White, Female,0,0,30, United-States
19, Private,322866, HS-grad,9, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States
45, Private,176841, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, El-Salvador
38, Private,272017, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
18, Private,161245, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,15, United-States
18, ?,167875, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,16, United-States
35, Self-emp-inc,200352, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States
20, ?,303121, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,45, United-States
20, Private,85021, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States
62, Local-gov,176839, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,10, United-States
28, Private,146565, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,35, United-States
38, Private,372525, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,45, United-States
81, Self-emp-inc,104443, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,40, ?
29, Private,130010, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
41, Private,428420, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
32, Private,198813, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States
51, Private,250423, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
49, Private,278322, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
38, Private,237091, Some-college,10, Married-spouse-absent, Other-service, Unmarried, White, Female,0,0,36, Peru
21, Private,230229, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,40, Mexico
62, Private,116289, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
40, Private,171305, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,60, United-States
17, Private,33611, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
23, Private,108307, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States
67, State-gov,121395, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,12, United-States
52, Private,186826, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,0,1564,40, United-States
54, Federal-gov,151135, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
54, Private,96062, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
17, Private,147069, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,16, United-States
48, Federal-gov,33084, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,50, United-States
43, Local-gov,343068, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,65, United-States
37, Federal-gov,362006, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States
64, Local-gov,210464, Masters,14, Widowed, Prof-specialty, Unmarried, Black, Female,0,0,40, United-States
17, Private,233781, 11th,7, Never-married, Other-service, Own-child, Black, Male,0,0,18, United-States
18, ?,354236, 10th,6, Never-married, ?, Own-child, White, Female,0,0,30, United-States
36, Private,203828, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Italy
58, Private,282023, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
32, Self-emp-not-inc,45604, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,70, United-States
52, Federal-gov,385183, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
18, Private,23940, Some-college,10, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States
51, Private,161599, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, ?
23, Private,185948, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,40, United-States
31, Private,247328, 11th,7, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
18, ?,192321, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States
